Title,Type,Format,Ripped?,Named?,Status
Futurama S4,Show,DVD,Y,N,
Futurama S5,Show,DVD,Y,N,
Futurama S6,Show,DVD,N,,
Futurama S7,Show,DVD,N,,
Futurama S8,Show,DVD,N,,
Futurama The Beast with a Billion Backs,Film,DVD,N,,
Galaxy Quest (1999),Film,DVD,Y,,
Gangs of New York (2002),Film,BluRay,Y,,
Gattaca (1997),Film,BluRay,Y,,
George of the Jungle,Film,VHS,N,,
Get Out (2017),Film,BluRay,Y,,
Ghost Rider (2007),Film,DVD,Y,,
Ghostbusters (1984),Film,DVD,Y,,
Godzilla The King of Monsters,Film,VHS,N,,
Godzilla Versus Monster Zero,Film,VHS,N,,
Godzilla Versus Mothra,Film,VHS,N,,
GoodFellas (1990),Film,DVD,Y,,
Gran Torino (2008),Film,BluRay,Y,,
Gravity (2013),Film,BluRay,Y,,
Gremlins (1984),Film,DVD,Y,,
Guardians of the Galaxy (2014),Film,BluRay,Y,,
Guardians of the Galaxy Vol. 2 (2017),Film,BluRay,Y,,
Halo Nightfall,Show,DVD,N,N,
Hancock (2008),Film,DVD,Y,,
Happy Gilmore,Film,VHS,N,,
Harry Potter and the Chamber of Secrets (2002),Film,DVD,Y,,
Harry Potter and the Deathly Hallows - Part 1 (2010),Film,DVD,Y,,
Harry Potter and the Deathly Hallows - Part 2 (2011),Film,DVD,Y,,
Harry Potter and the Goblet of Fire (2005),Film,DVD,Y,,
Harry Potter and the Order of the Phoenix (2007),Film,DVD,N,,
Harry Potter and the Philosopher's Stone (2001),Film,DVD,Y,,
Harry Potter and the Prisoner of Azkaban (2004),Film,DVD,Y,,
Hellboy (2004),Film,DVD,Y,,
Hercules,Film,VHS,N,,
History The Crusades Crescent & The Cross (2005) CD1,Film,DVD,Y,,
History The Crusades Crescent & The Cross (2005) CD2,Film,DVD,Y,,
Hot Fuzz (2007),Film,DVD,Y,,
Hotel Rwanda (2004),Film,DVD,Y,,
How the Grinch Stole Christmas!,Film,VHS,N,,
How the Grinch Stole Christmas! Plus If I Ran the Zoo,Film,VHS,N,,
Hulk (2003),Film,DVD,Y,,
I Am Legend (2007),Film,DVD,Y,,
"I, Robot (2004)",Film,DVD,Y,,
Ice Age,Film,VHS,N,,
Ihsahn After,Performance,,Y,,
Incredibles 2 (2018),Film,BluRay,Y,,
Independence Day,Film,VHS,N,,
Indiana Jones and the Last Crusade,Film,VHS,N,,
Indiana Jones and the Raiders of the Lost Ark,Film,VHS,N,,
Indiana Jones and the Temple of Doom,Film,VHS,N,,
Inglourious Basterds (2009),Film,BluRay,Y,,
Inside Out,Film,BluRay,N,,
Inspector Gadget,Film,VHS,N,,
Inspector Gadget Gadget's Greatest Gadgets,Show,VHS,N,,
Interstellar (2014),Film,BluRay,Y,,
Invaders from Mars (1986),Film,DVD,Y,,
Invisible Invaders (1959),Film,DVD,Y,,
Iron Man (2008),Film,BluRay,Y,,
Iron Man 2 (2010),Film,BluRay,Y,,
Iron Man 3 (2013),Film,BluRay,Y,,
James and the Giant Peache,Film,VHS,N,,
Jerry Maguire,Film,VHS,N,,
Jerry Seinfeld - I'm Telling You for the Last Time (1998),Performance,DVD,Y,,
Journey to the Center of the Earth,Film,VHS,N,,
Journey to the Seventh Planet (1962),Film,DVD,Y,,
Judas Priest Electric Eye,Performance,,Y,,
Julius Caeser Against the Pirates,Film,DVD,N,,
Jurassic Park (1993),Film,BluRay,Y,,
Jurassic Park (1993),Film,VHS,N,,
Jurassic Park (1993),Film,VHS,N,,
Justice League,Film,VHS,N,,
Justice League Dark (2017),Film,BluRay,Y,,
Kamelot Poetry for the Poisoned,Performance,,Y,,
Kill Bill - Vol. 1 (2003),Film,DVD,Y,,
King Arthur (2004),Film,DVD,Y,,
Kung Pow - Enter the Fist (2002),Film,DVD,Y,,
Labyrinth (1986),Film,DVD,Y,,
Lady and the Tramp,Film,VHS,N,,
Lady and the Tramp II,Film,VHS,N,,
Lilo & Stitch,Film,VHS,N,,
Lilo & Stitch 2 Stitch Has a Glitch,Film,VHS,N,,
Logan (2017),Film,BluRay,Y,,
Looney Tunes Reality Check,Show,VHS,N,,
Lost in Space (1998),Film,DVD,Y,,
Mad Max,Film,VHS,N,,
Mad Max 2 The Road Warrior,Film,DVD,Y,,
Mad Max 3 Beyond Thunderdome,Film,DVD,Y,,
Mary Poppins,Film,VHS,N,,
Mary Shelley's Frankenstein (1994),Film,DVD,Y,,
Mastodon Live at the Aragon,Performance,,Y,,
Mastodon The Workhorse Chronicles,Performance,,Y,,
Mel Brooks' History of the World Part 1,Film,DVD,Y,Y,
Men In Black,Film,VHS,N,,
Mighty Morphin Power Rangers - The Movie (1995),Film,DVD,Y,Y,
Minority Report (2002),Film,DVD,Y,,
"Monsters, Inc. (2001)",Film,DVD,N,,
